Name,Type,calories,protein,carbohydrate,total_fat,Tags,Allergens,Swap_Group,Goal
Potato canjee (Aloo canjee),Snack,48,1.3,8.1,1.2,Veg,,Veg_Snack,Weight Loss
Vermicelli porridge (Semiya/Seviyan porridge),Breakfast,117,3.8,15.8,4.5,Veg,,Veg_Breakfast,Weight Loss
Vermicelli porridge (Semiya/Seviyan porridge),Snack,117,3.8,15.8,4.5,Veg,,Veg_Snack,Weight Loss
Semolina upma (Suji/Rava upma),Breakfast,221,4.9,24.5,11.2,Veg,,Veg_Breakfast,Maintain
Vermicelli upma (Semiya/Seviyan upma),Breakfast,223,4.7,25.3,11.2,Veg,,Veg_Breakfast,Maintain
Rice upma,Breakfast,378,6.6,44.9,18.6,Veg,,Veg_Breakfast,Maintain
Bread upma,Breakfast,194,4.2,18.9,11.6,Veg,Gluten,Veg_Breakfast,Maintain
Vegetable upma,Breakfast,219,7.1,24.7,9.9,Veg,,Veg_Breakfast,Weight Loss
Poha,Breakfast,736,15.2,87.6,35.4,Veg,,Veg_Breakfast,Maintain
Vegetable poha,Breakfast,451,12.2,53.8,20.2,Veg,,Veg_Breakfast,Maintain
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Lunch,387,17.4,48.6,12.8,Veg,,Veg_Lunch,Maintain
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),Dinner,387,17.4,48.6,12.8,Veg,,Veg_Dinner,Maintain
Paneer stuffed cheela/chilla,Lunch,512,28.6,47.9,22.2,Veg,Dairy,Veg_Lunch,Muscle Gain
Paneer stuffed cheela/chilla,Dinner,512,28.6,47.9,22.2,Veg,Dairy,Veg_Dinner,Muscle Gain
Indian style egg bhujia (Anda bhujia (Indian style)),Breakfast,154,9.1,5.6,10.5,Non-Veg,Eggs,Non-Veg_Breakfast,Maintain
French omelette/omlet,Lunch,527,25.1,1.0,47.2,Veg,,Veg_Lunch,Muscle Gain
French omelette/omlet,Dinner,527,25.1,1.0,47.2,Veg,,Veg_Dinner,Muscle Gain
Puffy omelette/omlet,Lunch,470,22.0,0.2,42.1,Veg,,Veg_Lunch,Muscle Gain
Puffy omelette/omlet,Dinner,470,22.0,0.2,42.1,Veg,,Veg_Dinner,Muscle Gain
Orange omelette/omlet,Lunch,486,22.3,4.2,42.1,Veg,,Veg_Lunch,Muscle Gain
Orange omelette/omlet,Dinner,486,22.3,4.2,42.1,Veg,,Veg_Dinner,Muscle Gain
Cheese and mushroom omelette/omlet,Lunch,514,24.2,4.2,44.6,Veg,,Veg_Lunch,Muscle Gain
Cheese and mushroom omelette/omlet,Dinner,514,24.2,4.2,44.6,Veg,,Veg_Dinner,Muscle Gain
Spanish omelette/omlet,Lunch,393,20.6,12.8,28.6,Veg,,Veg_Lunch,Muscle Gain
Spanish omelette/omlet,Dinner,393,20.6,12.8,28.6,Veg,,Veg_Dinner,Muscle Gain
Mixed stock,Breakfast,75,6.2,1.0,5.1,Veg,,Veg_Breakfast,Weight Loss
