Name,Type,Calories,Protein,Carbs,Fats,Tags,Allergens,Swap_Group
Pasta spinach sauce,Breakfast,128,2.6,2.6,11.9,Veg,None,Veg_Breakfast
Pasta spinach sauce,Snack,128,2.6,2.6,11.9,Veg,None,Veg_Snack
Pasta cheese sauce,Breakfast,223,6.5,13.5,16.3,Veg,None,Veg_Breakfast
Pasta cheese sauce,Snack,223,6.5,13.5,16.3,Veg,None,Veg_Snack
Mayonnaise,Lunch,1937,4.6,4.1,211.3,Veg,None,Veg_Lunch
Mayonnaise,Dinner,1937,4.6,4.1,211.3,Veg,None,Veg_Dinner
Low calorie quick mayonnaise,Lunch,607,3.5,11.8,60.9,Veg,None,Veg_Lunch
Low calorie quick mayonnaise,Dinner,607,3.5,11.8,60.9,Veg,None,Veg_Dinner
Thousand island dressing,Lunch,1019,3.4,11.2,107.2,Veg,None,Veg_Lunch
Thousand island dressing,Dinner,1019,3.4,11.2,107.2,Veg,None,Veg_Dinner
Curd dip,Breakfast,119,7.6,11.9,5.0,Veg,Dairy,Veg_Breakfast
Curd dip,Snack,119,7.6,11.9,5.0,Veg,Dairy,Veg_Snack
Short crust pastry,Lunch,1055,15.3,111.8,60.0,Veg,None,Veg_Lunch
Short crust pastry,Dinner,1055,15.3,111.8,60.0,Veg,None,Veg_Dinner
Choux pastry,Lunch,555,13.9,40.5,37.4,Veg,None,Veg_Lunch
Choux pastry,Dinner,555,13.9,40.5,37.4,Veg,None,Veg_Dinner
Flaky pastry,Lunch,1109,11.7,84.0,80.0,Veg,None,Veg_Lunch
Flaky pastry,Dinner,1109,11.7,84.0,80.0,Veg,None,Veg_Dinner
Sponge cake ,Lunch,634,23.0,111.6,11.9,Veg,None,Veg_Lunch
Sponge cake ,Dinner,634,23.0,111.6,11.9,Veg,None,Veg_Dinner
Glace icing,Lunch,808,0.0,215.8,0.0,Veg,None,Veg_Lunch
Glace icing,Dinner,808,0.0,215.8,0.0,Veg,None,Veg_Dinner
Royal icing,Lunch,831,4.4,216.3,0.0,Veg,None,Veg_Lunch
Royal icing,Dinner,831,4.4,216.3,0.0,Veg,None,Veg_Dinner
American frosting,Lunch,643,2.6,168.7,0.0,Veg,None,Veg_Lunch
American frosting,Dinner,643,2.6,168.7,0.0,Veg,None,Veg_Dinner
Gum icing,Lunch,557,14.8,133.0,0.0,Veg,None,Veg_Lunch
Gum icing,Dinner,557,14.8,133.0,0.0,Veg,None,Veg_Dinner
Channa murmura premix,Lunch,847,26.5,181.5,8.2,Veg,None,Veg_Lunch
Channa murmura premix,Dinner,847,26.5,181.5,8.2,Veg,None,Veg_Dinner
Cracked wheat and green gram dal premix (Dalia moong dal premix),Lunch,905,39.7,161.9,12.8,Veg,Gluten,Veg_Lunch
Cracked wheat and green gram dal premix (Dalia moong dal premix),Dinner,905,39.7,161.9,12.8,Veg,Gluten,Veg_Dinner
Rice flakes and roasted channa ,Lunch,833,26.4,179.8,7.4,Veg,None,Veg_Lunch
Rice flakes and roasted channa ,Dinner,833,26.4,179.8,7.4,Veg,None,Veg_Dinner
Spinach soup in milk ,Breakfast,85,4.3,6.0,4.8,Veg,Dairy,Veg_Breakfast
Spinach soup in milk ,Snack,85,4.3,6.0,4.8,Veg,Dairy,Veg_Snack
Vegetable soup,Breakfast,82,3.3,11.4,2.3,Veg,None,Veg_Breakfast
Vegetable soup,Snack,82,3.3,11.4,2.3,Veg,None,Veg_Snack
Mashed banana with milk,Breakfast,143,3.8,21.9,4.5,Veg,Dairy,Veg_Breakfast
Mashed banana with milk,Snack,143,3.8,21.9,4.5,Veg,Dairy,Veg_Snack
Poha with curd (Poha aur dahi),Breakfast,433,15.0,66.8,11.6,Veg,Dairy,Veg_Breakfast
Potato with curd,Breakfast,109,4.8,18.0,2.0,Veg,Dairy,Veg_Breakfast
Potato with curd,Snack,109,4.8,18.0,2.0,Veg,Dairy,Veg_Snack
Sweet wheat porridge (Sweet dalia),Breakfast,210,7.7,35.7,4.2,Veg,Gluten,Veg_Breakfast
Sweet wheat porridge (Sweet dalia),Snack,210,7.7,35.7,4.2,Veg,Gluten,Veg_Snack
Vegetable khichdi/khichri,Breakfast,214,8.4,29.4,6.8,Veg,None,Veg_Breakfast
Vegetable khichdi/khichri,Snack,214,8.4,29.4,6.8,Veg,None,Veg_Snack
Moong dal mixture,Lunch,397,11.6,84.8,2.5,Veg,None,Veg_Lunch
Moong dal mixture,Dinner,397,11.6,84.8,2.5,Veg,None,Veg_Dinner
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Lunch,418,18.9,55.9,13.8,Veg,Gluten,Veg_Lunch
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Dinner,418,18.9,55.9,13.8,Veg,Gluten,Veg_Dinner
Stewed apple,Breakfast,137,0.3,33.7,0.6,Veg,None,Veg_Breakfast
Stewed apple,Snack,137,0.3,33.7,0.6,Veg,None,Veg_Snack
Lemon squash (Nimbu ka squash),Lunch,461,0.4,122.2,0.2,Veg,None,Veg_Lunch
Lemon squash (Nimbu ka squash),Dinner,461,0.4,122.2,0.2,Veg,None,Veg_Dinner
Orange squash (Santre ka squash),Lunch,483,0.6,127.2,0.1,Veg,None,Veg_Lunch
